"filename", "language", "JavaScript", "Vue", "SCSS", "YAML", "XML", "CSS", "Markdown", "JSON", "Handlebars", "HTML", "JSON with Comments", "Docker", "comment", "blank", "total"
"e:\weichang\iot-web\src\icons\svg\message.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\money.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\nested.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\oxygen.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\password.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\pdf.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\people.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\peoples.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\qq.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\search.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\shopping.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\size.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\skill.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\star.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\tab.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\table.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\temperature.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\theme.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\tree-table.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\tree.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\user.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\wechat.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\wristbrand.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\zaixian.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svg\zip.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\weichang\iot-web\src\icons\svgo.yml", "YAML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 23
"e:\weichang\iot-web\src\lang\en.js", "JavaScript", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 176
"e:\weichang\iot-web\src\lang\es.js", "JavaScript", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 176
"e:\weichang\iot-web\src\lang\index.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 56
"e:\weichang\iot-web\src\lang\ja.js", "JavaScript", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 176
"e:\weichang\iot-web\src\lang\zh.js", "JavaScript", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 176
"e:\weichang\iot-web\src\layout\components\AppMain.vue", "Vue", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 58
"e:\weichang\iot-web\src\layout\components\Navbar.vue", "Vue", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 183
"e:\weichang\iot-web\src\layout\components\Settings\index.vue", "Vue", 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 143
"e:\weichang\iot-web\src\layout\components\Sidebar\FixiOSBug.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 27
